Training log created at 2025-10-28T14:33:14.957871
Epoch 2 : 1200 / 3500 samples , time for last 50 samples : 0:00:06 hours , time since beginning : 0:02:54 hours , time left to finish the epoch : 0:05:10 hours , Loss/total: 7.96854 , IoU: 0.06374 , LR/group0: 0.000100 , LR/group1: 0.000010
Epoch 2 : 1250 / 3500 samples , time for last 50 samples : 0:00:06 hours , time since beginning : 0:03:00 hours , time left to finish the epoch : 0:05:00 hours , Loss/total: 7.96963 , IoU: 0.06313 , LR/group0: 0.000100 , LR/group1: 0.000010
Epoch 2 : 1300 / 3500 samples , time for last 50 samples : 0:00:08 hours , time since beginning : 0:03:08 hours , time left to finish the epoch : 0:05:52 hours , Loss/total: 7.97233 , IoU: 0.06246 , LR/group0: 0.000100 , LR/group1: 0.000010
Epoch 2 : 1350 / 3500 samples , time for last 50 samples : 0:00:06 hours , time since beginning : 0:03:15 hours , time left to finish the epoch : 0:04:47 hours , Loss/total: 7.97595 , IoU: 0.06271 , LR/group0: 0.000100 , LR/group1: 0.000010
Epoch 2 : 1400 / 3500 samples , time for last 50 samples : 0:00:06 hours , time since beginning : 0:03:22 hours , time left to finish the epoch : 0:04:44 hours , Loss/total: 7.97675 , IoU: 0.06229 , LR/group0: 0.000100 , LR/group1: 0.000010
Epoch 2 : 1450 / 3500 samples , time for last 50 samples : 0:00:06 hours , time since beginning : 0:03:28 hours , time left to finish the epoch : 0:04:34 hours , Loss/total: 7.97565 , IoU: 0.06274 , LR/group0: 0.000100 , LR/group1: 0.000010
Epoch 2 : 1500 / 3500 samples , time for last 50 samples : 0:00:06 hours , time since beginning : 0:03:35 hours , time left to finish the epoch : 0:04:27 hours , Loss/total: 7.97450 , IoU: 0.06192 , LR/group0: 0.000100 , LR/group1: 0.000010
Epoch 2 : 1550 / 3500 samples , time for last 50 samples : 0:00:07 hours , time since beginning : 0:03:43 hours , time left to finish the epoch : 0:05:10 hours , Loss/total: 7.97195 , IoU: 0.06223 , LR/group0: 0.000100 , LR/group1: 0.000010
Epoch 2 : 1600 / 3500 samples , time for last 50 samples : 0:00:06 hours , time since beginning : 0:03:50 hours , time left to finish the epoch : 0:04:15 hours , Loss/total: 7.97224 , IoU: 0.06090 , LR/group0: 0.000100 , LR/group1: 0.000010
Epoch 2 : 1650 / 3500 samples , time for last 50 samples : 0:00:06 hours , time since beginning : 0:03:57 hours , time left to finish the epoch : 0:04:13 hours , Loss/total: 7.97041 , IoU: 0.06079 , LR/group0: 0.000100 , LR/group1: 0.000010
Epoch 2 : 1700 / 3500 samples , time for last 50 samples : 0:00:06 hours , time since beginning : 0:04:04 hours , time left to finish the epoch : 0:04:06 hours , Loss/total: 7.96597 , IoU: 0.06071 , LR/group0: 0.000100 , LR/group1: 0.000010
Epoch 2 : 1750 / 3500 samples , time for last 50 samples : 0:00:07 hours , time since beginning : 0:04:11 hours , time left to finish the epoch : 0:04:33 hours , Loss/total: 7.96559 , IoU: 0.06128 , LR/group0: 0.000100 , LR/group1: 0.000010
Epoch 2 : 1800 / 3500 samples , time for last 50 samples : 0:00:06 hours , time since beginning : 0:04:18 hours , time left to finish the epoch : 0:03:46 hours , Loss/total: 7.96410 , IoU: 0.06099 , LR/group0: 0.000100 , LR/group1: 0.000010
Epoch 2 : 1850 / 3500 samples , time for last 50 samples : 0:00:06 hours , time since beginning : 0:04:25 hours , time left to finish the epoch : 0:03:38 hours , Loss/total: 7.95962 , IoU: 0.06052 , LR/group0: 0.000100 , LR/group1: 0.000010
Epoch 2 : 1900 / 3500 samples , time for last 50 samples : 0:00:06 hours , time since beginning : 0:04:31 hours , time left to finish the epoch : 0:03:33 hours , Loss/total: 7.96102 , IoU: 0.06046 , LR/group0: 0.000100 , LR/group1: 0.000010
Epoch 2 : 1950 / 3500 samples , time for last 50 samples : 0:00:06 hours , time since beginning : 0:04:38 hours , time left to finish the epoch : 0:03:30 hours , Loss/total: 7.95747 , IoU: 0.06072 , LR/group0: 0.000100 , LR/group1: 0.000010
Epoch 2 : 2000 / 3500 samples , time for last 50 samples : 0:00:07 hours , time since beginning : 0:04:46 hours , time left to finish the epoch : 0:03:54 hours , Loss/total: 7.95525 , IoU: 0.06083 , LR/group0: 0.000100 , LR/group1: 0.000010
Epoch 2 : 2050 / 3500 samples , time for last 50 samples : 0:00:06 hours , time since beginning : 0:04:53 hours , time left to finish the epoch : 0:03:12 hours , Loss/total: 7.95272 , IoU: 0.06077 , LR/group0: 0.000100 , LR/group1: 0.000010
Epoch 2 : 2100 / 3500 samples , time for last 50 samples : 0:00:06 hours , time since beginning : 0:04:59 hours , time left to finish the epoch : 0:03:05 hours , Loss/total: 7.95356 , IoU: 0.06059 , LR/group0: 0.000100 , LR/group1: 0.000010
Epoch 2 : 2150 / 3500 samples , time for last 50 samples : 0:00:06 hours , time since beginning : 0:05:06 hours , time left to finish the epoch : 0:03:00 hours , Loss/total: 7.95078 , IoU: 0.06084 , LR/group0: 0.000100 , LR/group1: 0.000010
